TimeMDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:15 AM,63.5,41.2,44,30.30,10.0,SSE,6.9,-,N/A,,Clear,160,2014-07-25 06:15:00
12:35 AM,61.9,42.1,48,30.30,10.0,South,4.6,-,N/A,,Clear,180,2014-07-25 06:35:00
12:55 AM,59.0,42.8,55,30.29,10.0,South,5.8,-,N/A,,Clear,170,2014-07-25 06:55:00
1:15 AM,57.6,43.2,59,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 07:15:00
1:35 AM,57.4,41.2,55,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 07:35:00
1:55 AM,55.0,43.7,66,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 07:55:00
2:15 AM,54.7,44.4,68,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 08:15:00
2:35 AM,55.8,44.6,66,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 08:35:00
2:55 AM,55.0,44.4,67,30.28,10.0,West,3.5,-,N/A,,Clear,270,2014-07-25 08:55:00
3:15 AM,56.3,43.3,62,30.27,10.0,South,3.5,-,N/A,,Clear,190,2014-07-25 09:15:00
3:35 AM,53.8,43.3,68,30.27,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 09:35:00
3:55 AM,52.0,43.2,72,30.27,10.0,NNW,3.5,-,N/A,,Clear,330,2014-07-25 09:55:00
4:15 AM,54.5,46.8,75,30.27,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 10:15:00
4:35 AM,53.4,45.3,74,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 10:35:00
4:55 AM,52.7,44.2,73,30.28,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-07-25 10:55:00
5:15 AM,52.2,43.3,72,30.28,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-07-25 11:15:00
5:35 AM,57.4,43.2,59,30.28,10.0,South,4.6,-,N/A,,Mostly Cloudy,170,2014-07-25 11:35:00
5:55 AM,54.0,44.6,71,30.29,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-07-25 11:55:00
6:15 AM,51.8,44.2,75,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 12:15:00
6:35 AM,52.7,45.5,76,30.28,10.0,NNW,4.6,-,N/A,,Clear,330,2014-07-25 12:35:00
6:55 AM,54.3,47.5,78,30.29,10.0,NNW,3.5,-,N/A,,Clear,340,2014-07-25 12:55:00
7:15 AM,57.9,46.9,67,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 13:15:00
7:35 AM,61.3,45.1,55,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 13:35:00
7:55 AM,65.1,45.0,48,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 13:55:00
8:15 AM,70.9,42.4,36,30.29,10.0,SSE,4.6,-,N/A,,Clear,150,2014-07-25 14:15:00
8:35 AM,73.6,41.7,32,30.30,10.0,SSE,5.8,-,N/A,,Clear,160,2014-07-25 14:35:00
8:55 AM,74.8,42.6,31,30.29,10.0,South,5.8,-,N/A,,Clear,170,2014-07-25 14:55:00
9:15 AM,76.1,45.1,33,30.29,10.0,South,6.9,-,N/A,,Clear,170,2014-07-25 15:15:00
9:35 AM,78.3,45.7,32,30.29,10.0,SSE,9.2,-,N/A,,Clear,160,2014-07-25 15:35:00
9:55 AM,81.5,43.5,26,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 15:55:00
10:15 AM,82.8,41.7,23,30.29,10.0,NW,3.5,-,N/A,,Clear,310,2014-07-25 16:15:00
10:35 AM,83.5,41.9,23,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-25 16:35:00
